inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,vote2016
Maryland,1964,Female,Heterosexual / straight,No,2-year,Yes,Native American,Homemaker,Broadband,Broadband,Married,Independent,Conservative,Yes,Somewhat important,Seldom,Several times a day,Something else,0,Some of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
Tennessee,1971,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,None,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Ohio,1958,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,None,Broadband,Never married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
California,1946,Female,Heterosexual / straight,No,Post-grad,Yes,Asian,Retired,Broadband,None,Married,Independent,Moderate,No,Somewhat important,Seldom,A few times a month,Protestant,0,Most of the time,"$200,000 - $249,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Kentucky,1972,Female,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,None,Married,Democrat,Liberal,Yes,Somewhat important,A few times a year,Once a day,Protestant,1,Some of the time,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Arizona,1963,Female,Heterosexual / straight,No,2-year,Yes,White,Part-time,None,None,Married,Democrat,Very conservative,Yes,Somewhat important,Seldom,A few times a month,Protestant,0,Some of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Alabama,1970,Male,Heterosexual / straight,No,Some college,Yes,White,Unemployed,Broadband,Broadband,Domestic / civil partnership,Republican,Conservative,Yes,Somewhat important,A few times a year,Once a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Hawaii,1983,Female,Heterosexual / straight,No,No HS,Yes,Mixed,Part-time,Broadband,Broadband,Married,Independent,Moderate,No,Very important,Once a week,Once a day,Hindu,0,Only now and then,Prefer not to say,Rent,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Ohio,1982,Female,Heterosexual / straight,Yes,Post-grad,Yes,White,Student,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,More than once a week,Several times a day,Nothing in particular,1,Most of the time,"$50,000 - $59,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
North Carolina,1977,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,Yes,Very important,A few times a year,Several times a day,Protestant,2,Some of the time,"$70,000 - $79,999",Own,Rural area,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Pennsylvania,1981,Female,Heterosexual / straight,No,High school graduate,Yes,White,Unemployed,Broadband,Broadband,Never married,Democrat,Moderate,No,Somewhat important,Seldom,A few times a week,Something else,2,Most of the time,"$60,000 - $69,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
New York,1992,Male,Gay man,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$70,000 - $79,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Tennessee,1970,Female,Heterosexual / straight,No,High school graduate,Yes,White,Unemployed,Broadband,None,Never married,Democrat,Very liberal,No,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Pennsylvania,1969,Male,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,None,Never married,Republican,Conservative,No,Not too important,Seldom,Seldom,Agnostic,0,Most of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
New York,1987,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,Yes,Somewhat important,Once a week,Several times a day,Protestant,6,Some of the time,"$30,000 - $39,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Indiana,1960,Male,Heterosexual / straight,No,Some college,Yes,Other,Student,Broadband,Broadband,Never married,Other,Conservative,Yes,Not at all important,Seldom,Several times a day,Protestant,0,Some of the time,Prefer not to say,Rent,Other,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Michigan,1965,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Nothing in particular,0,Most of the time,"$70,000 - $79,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Arkansas,1980,Male,Heterosexual / straight,No,Some college,Yes,White,Permanently disabled,Broadband,None,Never married,Republican,Conservative,Yes,Not too important,Seldom,A few times a month,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Kansas,1982,Female,Heterosexual / straight,No,High school graduate,Yes,Mixed,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$20,000 - $29,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
New Hampshire,1980,Female,Lesbian / gay woman,No,High school graduate,Yes,Other,Permanently disabled,Broadband,None,Divorced,Democrat,Very liberal,No,Very important,Once a week,A few times a week,Something else,0,Most of the time,Prefer not to say,Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Florida,1992,Female,Heterosexual / straight,Yes,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,Yes,Very important,A few times a year,A few times a month,Roman Catholic,1,Don't know,"$200,000 - $249,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
California,1959,Male,Gay man,No,Post-grad,Yes,White,Unemployed,Broadband,Broadband,Never married,Democrat,Moderate,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$120,000 - $149,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Virginia,1983,Female,Heterosexual / straight,No,High school graduate,No,White,Unemployed,None,None,Never married,Republican,Conservative,No,Somewhat important,Never,A few times a month,Protestant,2,Some of the time,"$10,000 - $19,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Pennsylvania,1981,Female,Bisexual,No,High school graduate,Yes,White,Homemaker,Broadband,None,Never married,Independent,Moderate,No,Not too important,Never,A few times a week,Nothing in particular,2,Most of the time,"$40,000 - $49,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Louisiana,1953,Female,Heterosexual / straight,No,2-year,Yes,Black,Retired,Broadband,None,Divorced,Democrat,Liberal,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$60,000 - $69,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
California,1959,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$150,000 - $199,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Michigan,1949,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Married,Independent,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Some of the time,"$100,000 - $119,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
California,1959,Female,Heterosexual / straight,Yes,Post-grad,Yes,White,Homemaker,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,More than once a week,Several times a day,Roman Catholic,1,Most of the time,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
Washington,1950,Female,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,Broadband,Married,Independent,Moderate,No,Not at all important,Never,Seldom,Agnostic,0,Most of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
North Carolina,1952,Female,Heterosexual / straight,No,4-year,Yes,Black,Part-time,Broadband,Broadband,Divorced,Democrat,Conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Texas,1985,Female,Heterosexual / straight,No,Some college,Yes,White,Part-time,Broadband,Broadband,Never married,Republican,Moderate,Yes,Very important,Once a week,Several times a day,Protestant,1,Only now and then,"$70,000 - $79,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Wisconsin,1968,Male,Heterosexual / straight,No,2-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not too important,Seldom,Seldom,Roman Catholic,1,Some of the time,"$80,000 - $99,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
North Carolina,1953,Female,Heterosexual / straight,No,Some college,Yes,Black,Retired,Broadband,Broadband,Widowed,Democrat,Conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Some of the time,"$60,000 - $69,999",Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,I did not cast a vote for president
Washington,1977,Female,Heterosexual / straight,No,2-year,Yes,White,Homemaker,None,None,Married,Republican,Conservative,Yes,Very important,Once a week,Don't know,Protestant,0,Hardly at all,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
California,1997,Female,Heterosexual / straight,No,Some college,Yes,Mixed,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Not too important,Seldom,Seldom,Nothing in particular,0,Only now and then,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",No,Someone else
Michigan,1958,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Divorced,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
West Virginia,1975,Female,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,Broadband,Married,Independent,Liberal,No,Very important,Once or twice a month,Several times a day,Mormon,8,Some of the time,"$20,000 - $29,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Someone else
Colorado,1971,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,None,Widowed,Independent,Very liberal,No,Not at all important,Never,Never,Something else,0,Most of the time,Prefer not to say,Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
New Jersey,1950,Female,Heterosexual / straight,No,Post-grad,Yes,Black,Retired,Broadband,None,Divorced,Democrat,Liberal,No,Somewhat important,A few times a year,Several times a day,Protestant,0,Some of the time,"$50,000 - $59,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Oklahoma,1959,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Divorced,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Some of the time,"$40,000 - $49,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
California,1974,Female,Lesbian / gay woman,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not too important,Never,A few times a month,Something else,0,Most of the time,"$40,000 - $49,999",Rent,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Washington,1954,Female,Bisexual,Yes,2-year,Yes,White,Permanently disabled,Broadband,None,Divorced,Other,Very liberal,No,Somewhat important,A few times a year,Several times a day,Roman Catholic,0,Most of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Wisconsin,1960,Female,Bisexual,No,No HS,Yes,White,Permanently disabled,Broadband,None,Domestic / civil partnership,Independent,Very liberal,No,Not too important,Never,Never,Something else,0,Most of the time,"Less than $10,000",Other,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Washington,1943,Female,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,None,Married,Democrat,Liberal,No,Very important,Seldom,A few times a month,Protestant,0,Most of the time,Prefer not to say,Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Arizona,1955,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Divorced,Democrat,Liberal,No,Somewhat important,Once a week,Don't know,Something else,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
New York,1986,Female,Heterosexual / straight,No,2-year,Yes,White,Part-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Somewhat important,Seldom,Once a day,Atheist,0,Most of the time,"$20,000 - $29,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Virginia,1982,Male,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,Yes,Very important,More than once a week,Once a day,Protestant,2,Most of the time,"$150,000 - $199,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Texas,1956,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,None,Broadband,Married,Republican,Conservative,No,Not too important,Seldom,Seldom,Protestant,0,Most of the time,"$60,000 - $69,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Washington,1965,Female,Heterosexual / straight,No,Post-grad,Yes,White,Unemployed,Broadband,None,Married,Republican,Conservative,No,Very important,Once or twice a month,A few times a month,Protestant,0,Some of the time,"$70,000 - $79,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Michigan,1958,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,None,Married,Republican,Conservative,Yes,Very important,A few times a year,Once a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
Florida,1982,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Moderate,Yes,Very important,Once a week,Once a day,Protestant,3,Some of the time,"$150,000 - $199,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Virginia,1959,Female,Heterosexual / straight,No,Post-grad,Yes,Black,Full-time,Broadband,Broadband,Divorced,Other,Very conservative,No,Somewhat important,Seldom,Several times a day,Nothing in particular,0,Some of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Washington,1954,Male,Heterosexual / straight,No,Some college,Yes,White,Other,Broadband,Broadband,Married,Independent,Moderate,No,Somewhat important,Seldom,Once a week,Protestant,0,Most of the time,Prefer not to say,Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Someone else
Illinois,1957,Female,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,None,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Some of the time,"$40,000 - $49,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Georgia,1957,Female,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Seldom,A few times a week,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Pennsylvania,1959,Female,Heterosexual / straight,No,Post-grad,Yes,White,Permanently disabled,Broadband,Broadband,Divorced,Independent,Liberal,No,Somewhat important,Seldom,Several times a day,Nothing in particular,0,Most of the time,"$10,000 - $19,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
New Hampshire,1984,Female,Heterosexual / straight,No,Post-grad,Yes,Mixed,Part-time,Broadband,None,Married,Independent,Moderate,No,Somewhat important,Once a week,A few times a week,Roman Catholic,2,Only now and then,"$50,000 - $59,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,I don't recall
Illinois,1963,Female,Lesbian / gay woman,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Very important,Never,Seldom,Roman Catholic,0,Most of the time,"$70,000 - $79,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Arizona,1958,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
North Carolina,1985,Male,Gay man,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Somewhat important,Seldom,Seldom,Roman Catholic,0,Most of the time,"$50,000 - $59,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Missouri,1987,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Ohio,1984,Female,Heterosexual / straight,No,2-year,Yes,Black,Unemployed,Broadband,None,Widowed,Democrat,Moderate,No,Somewhat important,A few times a year,Once a day,Muslim,2,Some of the time,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Maine,1969,Female,Bisexual,No,No HS,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Very conservative,No,Not at all important,Never,Never,Nothing in particular,1,Some of the time,"$70,000 - $79,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
California,1943,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Widowed,Democrat,Liberal,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$10,000 - $19,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
California,1956,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Divorced,Independent,Conservative,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$200,000 - $249,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Someone else
California,1949,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,No,Somewhat important,Seldom,A few times a month,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Colorado,1989,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Never,Seldom,Nothing in particular,0,Some of the time,"$70,000 - $79,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
California,1947,Female,Heterosexual / straight,No,Some college,Yes,White,Other,Broadband,None,Separated,Independent,Moderate,Yes,Very important,Seldom,A few times a week,Protestant,0,Some of the time,"$20,000 - $29,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Michigan,1949,Female,Heterosexual / straight,No,Post-grad,Yes,Black,Retired,Broadband,Broadband,Domestic / civil partnership,Democrat,Liberal,No,Somewhat important,Once a week,Once a day,Nothing in particular,0,Most of the time,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
North Carolina,1961,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Very important,Once a week,Once a day,Roman Catholic,0,Only now and then,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Oregon,1971,Female,Prefer not to say,Prefer not to say,Some college,Yes,White,Full-time,Dial-up,Broadband,Separated,Democrat,Liberal,No,Not too important,Seldom,A few times a week,Nothing in particular,0,Most of the time,"$40,000 - $49,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
California,1942,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,No,Not too important,Never,Seldom,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Louisiana,1970,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Divorced,Republican,Very conservative,No,Very important,Once a week,Once a day,Roman Catholic,0,Only now and then,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
North Carolina,1964,Female,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,None,Married,Republican,Very conservative,Yes,Somewhat important,Once a week,A few times a week,Protestant,1,Most of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
New York,1958,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Never,Never,Agnostic,0,Most of the time,"$60,000 - $69,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,Hillary Clinton
New York,1954,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Divorced,Democrat,Very liberal,No,Somewhat important,A few times a year,Several times a day,Protestant,0,Most of the time,"$120,000 - $149,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,Hillary Clinton
Illinois,1969,Female,Heterosexual / straight,No,Post-grad,Yes,White,Unemployed,Broadband,None,Married,Independent,Conservative,Yes,Very important,More than once a week,Several times a day,Protestant,2,Most of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,I did not cast a vote for president
Georgia,1954,Male,Heterosexual / straight,No,4-year,Yes,White,Other,Broadband,Broadband,Never married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,Prefer not to say,Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
South Carolina,1973,Female,Bisexual,No,2-year,Yes,White,Homemaker,Broadband,None,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$40,000 - $49,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Florida,1954,Female,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,None,Widowed,Independent,Moderate,No,Somewhat important,Never,Once a day,Roman Catholic,1,Some of the time,"$10,000 - $19,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Wisconsin,1956,Female,Heterosexual / straight,No,4-year,Yes,White,Homemaker,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Georgia,1985,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Never,Agnostic,1,Most of the time,"$100,000 - $119,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
