inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,vote2016
California,1955,Female,Heterosexual / straight,No,No HS,Yes,White,Retired,Broadband,Broadband,Divorced,Independent,Moderate,Yes,Somewhat important,Seldom,A few times a week,Something else,0,Most of the time,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Donald Trump
Kentucky,1949,Female,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,Broadband,Widowed,Independent,Moderate,No,Not too important,Seldom,A few times a week,Nothing in particular,0,Some of the time,"$20,000 - $29,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
West Virginia,1970,Female,Bisexual,No,4-year,Yes,White,Full-time,Broadband,Broadband,Domestic / civil partnership,Democrat,Very liberal,No,Not at all important,Never,Seldom,Agnostic,0,Most of the time,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Minnesota,1947,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,None,None,Married,Democrat,Moderate,No,Somewhat important,Once or twice a month,Seldom,Protestant,0,Most of the time,"$60,000 - $69,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
Florida,1952,Female,Heterosexual / straight,No,Post-grad,Yes,Black,Retired,Broadband,None,Never married,Independent,Moderate,No,Very important,Once a week,Several times a day,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Minnesota,1954,Male,Heterosexual / straight,No,Post-grad,Yes,White,Part-time,Broadband,Broadband,Married,Independent,Liberal,No,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Wisconsin,1967,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Widowed,Independent,Moderate,Yes,Very important,Seldom,Several times a day,Protestant,0,Some of the time,"$120,000 - $149,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
New Mexico,1960,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not at all important,Never,Never,Atheist,1,Most of the time,"$200,000 - $249,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,Hillary Clinton
Mississippi,1946,Male,Gay man,No,2-year,Yes,White,Retired,Broadband,None,Domestic / civil partnership,Democrat,Very liberal,No,Not too important,Seldom,Never,Protestant,0,Most of the time,"$60,000 - $69,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Virginia,1956,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Divorced,Other,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$70,000 - $79,999",Rent,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
North Carolina,1959,Male,Heterosexual / straight,No,Some college,Yes,Black,Permanently disabled,Broadband,None,Never married,Democrat,Very liberal,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Missouri,1954,Female,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,None,Married,Democrat,Liberal,Yes,Somewhat important,Never,A few times a week,Protestant,0,Most of the time,"$30,000 - $39,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
New Jersey,1948,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Independent,Not sure,No,Very important,More than once a week,Several times a day,Roman Catholic,0,Some of the time,"$40,000 - $49,999",Own,Rural area,I was born in the USA but at least one of my parents is an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
Delaware,1964,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Divorced,Independent,Liberal,No,Not at all important,Never,Never,Atheist,1,Most of the time,"$30,000 - $39,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Florida,1964,Female,Heterosexual / straight,No,2-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Moderate,No,Very important,A few times a year,Several times a day,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
Kansas,1944,Female,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,None,Married,Democrat,Liberal,No,Very important,Once a week,A few times a week,Protestant,0,Most of the time,"$150,000 - $199,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Georgia,1983,Female,Prefer not to say,No,2-year,Yes,White,Homemaker,Broadband,Broadband,Married,Independent,Very liberal,No,Somewhat important,Once or twice a month,Several times a day,Something else,1,Most of the time,"$60,000 - $69,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Texas,1967,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,Broadband,Married,Other,Liberal,No,Not at all important,Never,Never,Atheist,2,Most of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Pennsylvania,1982,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Seldom,A few times a week,Nothing in particular,0,Most of the time,"$100,000 - $119,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Florida,1954,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Widowed,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$30,000 - $39,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Missouri,1954,Female,Heterosexual / straight,No,Post-grad,Yes,White,Permanently disabled,Broadband,None,Married,Republican,Conservative,Yes,Very important,Never,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Donald Trump
California,1966,Male,Heterosexual / straight,Yes,Post-grad,Yes,Hispanic,Retired,Broadband,None,Married,Democrat,Moderate,No,Very important,Once a week,Several times a day,Roman Catholic,3,Most of the time,"$50,000 - $59,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Georgia,1959,Male,Other,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Somewhat important,A few times a year,A few times a week,Protestant,1,Most of the time,"$70,000 - $79,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Texas,1937,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Widowed,Independent,Conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$10,000 - $19,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
California,1950,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,No,Very important,Once a week,Several times a day,Something else,0,Some of the time,"$120,000 - $149,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Pennsylvania,1967,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$70,000 - $79,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Illinois,1949,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,None,Divorced,Republican,Moderate,Yes,Somewhat important,A few times a year,A few times a week,Protestant,0,Most of the time,"$150,000 - $199,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
California,1943,Female,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Married,Democrat,Liberal,No,Somewhat important,Once a week,Seldom,Jewish,0,Most of the time,"$200,000 - $249,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
Alabama,1946,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Widowed,Democrat,Liberal,No,Somewhat important,A few times a year,Once a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
New York,1943,Female,Bisexual,No,Post-grad,Yes,White,Retired,Broadband,Broadband,Never married,Independent,Very liberal,No,Not at all important,Never,Never,Jewish,0,Most of the time,"$80,000 - $99,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Massachusetts,1934,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Conservative,No,Not at all important,Never,Never,Something else,0,Most of the time,"$500,000 or more",Own,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Florida,1959,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Married,Other,Moderate,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Ohio,1952,Female,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Married,Democrat,Moderate,No,Very important,A few times a year,Once a day,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Massachusetts,1941,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Widowed,Democrat,Liberal,No,Not at all important,Never,Never,Buddhist,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
Utah,1952,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Other,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
Arizona,1941,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,Broadband,Married,Independent,Conservative,No,Not too important,Seldom,Seldom,Roman Catholic,0,Most of the time,"$150,000 - $199,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Texas,1946,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,None,Separated,Republican,Conservative,No,Very important,More than once a week,Several times a day,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
New York,1947,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Seldom,Seldom,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Indiana,1961,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,A few times a year,Several times a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
District of Columbia,1964,Female,Heterosexual / straight,No,2-year,Yes,Black,Full-time,Broadband,Broadband,Never married,Independent,Moderate,Yes,Very important,Once a week,Once a day,Mormon,2,Most of the time,"$40,000 - $49,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
New Mexico,1969,Male,Heterosexual / straight,Yes,2-year,Yes,White,Permanently disabled,Broadband,None,Never married,Independent,Conservative,Yes,Somewhat important,Never,A few times a week,Protestant,0,Most of the time,"Less than $10,000",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Nevada,1952,Male,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Very conservative,Yes,Very important,More than once a week,Several times a day,Mormon,0,Most of the time,"$60,000 - $69,999",Own,Rural area,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
California,1951,Female,Heterosexual / straight,No,No HS,Yes,White,Retired,Broadband,None,Never married,Democrat,Moderate,No,Very important,Never,Several times a day,Protestant,0,Some of the time,"$10,000 - $19,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
California,1940,Male,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,Broadband,Married,Other,Very conservative,No,Somewhat important,A few times a year,A few times a month,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Oregon,1948,Male,Heterosexual / straight,No,4-year,Yes,Asian,Part-time,Broadband,Broadband,Separated,Democrat,Liberal,No,Not too important,Never,Seldom,Buddhist,0,Only now and then,"$30,000 - $39,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Florida,1951,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Divorced,Democrat,Very liberal,No,Not at all important,Seldom,Never,Atheist,0,Most of the time,"$20,000 - $29,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Washington,1932,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Married,Independent,Moderate,No,Very important,Once a week,A few times a month,Jewish,0,Most of the time,"$70,000 - $79,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Indiana,1951,Female,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,None,Married,Republican,Moderate,No,Not too important,Never,A few times a month,Nothing in particular,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
North Carolina,1949,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Republican,Very conservative,No,Somewhat important,Seldom,Seldom,Protestant,0,Most of the time,Prefer not to say,Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Texas,1962,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Moderate,No,Not too important,Seldom,Seldom,Nothing in particular,0,Some of the time,"$30,000 - $39,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Florida,1962,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,Broadband,Married,Republican,Moderate,No,Somewhat important,A few times a year,Once a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Florida,1949,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Seldom,Nothing in particular,0,Most of the time,"$30,000 - $39,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Pennsylvania,1935,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,No,Very important,Once a week,A few times a week,Protestant,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Minnesota,1959,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Other,Conservative,No,Not too important,Seldom,A few times a week,Agnostic,0,Most of the time,"$40,000 - $49,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Pennsylvania,1949,Male,Bisexual,No,Some college,Yes,White,Retired,Broadband,Broadband,Married,Independent,Conservative,No,Very important,Once a week,Once a day,Roman Catholic,0,Most of the time,"$60,000 - $69,999",Own,Rural area,I am an immigrant to the USA and a naturalized citizen,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Texas,1955,Male,Heterosexual / straight,No,Post-grad,Yes,Middle Eastern,Retired,Broadband,None,Married,Republican,Very conservative,No,Somewhat important,A few times a year,Once a day,Eastern or Greek Orthodox,0,Most of the time,"$100,000 - $119,999",Rent,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Michigan,1964,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Liberal,No,Somewhat important,Seldom,Several times a day,Nothing in particular,0,Most of the time,"$150,000 - $199,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",No,Hillary Clinton
South Carolina,1941,Male,Heterosexual / straight,No,High school graduate,Yes,Black,Retired,Broadband,None,Widowed,Democrat,Very liberal,Yes,Very important,Once a week,Several times a day,Protestant,1,Some of the time,"$20,000 - $29,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
California,1950,Male,Heterosexual / straight,No,4-year,Yes,Asian,Retired,Broadband,None,Married,Democrat,Moderate,No,Not at all important,Never,Seldom,Agnostic,0,Most of the time,"$150,000 - $199,999",Own,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Florida,1936,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,No,Not too important,A few times a year,A few times a week,Jewish,0,Most of the time,"$150,000 - $199,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Illinois,1946,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Republican,Very conservative,Yes,Somewhat important,Once a week,A few times a month,Protestant,0,Most of the time,"$60,000 - $69,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
